time,iowait,busy,hwCCRInit,hwCCAInit,hwCCRUpdate,hwCCAUpdate,hwCCRTerm,hwCCATerm,hwCCREvent,hwCCAEvent,totalMsg,totalFail,totalSucc,TPS,Caps,AverageTime,MaxDelays,ER_118010161_1212,ER_412020474_0,ER_412020002_52442,ER_118010103_0,ER_0_59090795,ER_118013201_25286,hwCCREvent,hwCCAEvent,totalMsg,totalFail,totalSucc,TPS,Caps,AverageTime(ms),MaxDelays(ms),E_OnlineVoiceEvent,E_OnlineGprsEvent,DiamBalanceQueryEvent,hwCCREvent,hwCCAEvent,totalMsg,totalFail,totalSucc,TPS,Caps,AverageTime(ms),MaxDelays(ms),ER_118013105_536,ER_118013107_145,ER_0_221059,ER_118010202_51548,ER_118013201_1012,ER_118010106_0,ER_118013013_5101,SuccessRate(%),hwCCRInit,hwCCAInit,hwCCRUpdate,hwCCAUpdate,hwCCRTerm,hwCCATerm,hwCCREvent,hwCCAEvent,totalMsg,totalFail,totalSucc,TPS,Caps,AverageTime(ms),MaxDelays(ms),ER_118013972_9123,ER_118013105_21604,ER_118013106_248,ER_118013107_0,ER_412020002_0,ER_0_4983593,ER_118010103_0,ER_118010202_141586,ER_118013201_2323,ER_118013004_8,ER_412220053_0,ER_118010106_159,ER_118013013_0,SuccessRate
1480550400,1.39,64.41,1969,1969,32797,32795,2163,2162,0,0,36929,40,36886,615,32,12,131,0,0,30,0,42243,16,120,119,120,0,119,2,2,28,92,0,8,1,162,162,162,40,122,2,2,10,15,0,0,103,35,0,0,2,73.05,338,338,225,225,323,323,0,0,886,47,839,14,5,11,56,2,4,0,0,0,839,0,41,0,0,0,0,0,94.7
1480550460,1.65,63.62,2042,2042,32674,32674,2274,2273,0,0,36990,41,36948,616,34,16,120,0,0,33,0,42093,13,318,319,318,0,319,5,5,29,77,0,,0,266,266,266,63,203,4,4,10,25,0,0,128,55,0,0,3,68.82,385,385,211,211,307,307,0,0,903,57,846,15,6,10,28,2,3,0,0,0,846,0,52,0,0,0,0,0,93.69
1480550520,1.64,60,1988,1987,30791,30790,2182,2184,0,0,34961,32,34929,582,33,14,124,2,0,29,0,39882,8,411,411,411,0,411,6,6,28,127,0,26,1,266,266,266,54,212,4,4,9,63,2,0,113,45,0,0,0,70.62,376,376,200,200,303,303,0,0,879,43,836,14,6,9,58,7,9,0,0,0,836,0,27,0,0,0,0,0,95.11
1480550580,1.73,58.29,1988,1989,31363,31364,2172,2171,0,0,35523,32,35492,592,33,13,120,4,0,20,0,40571,12,369,369,369,0,369,6,6,28,91,6,2,0,242,242,242,41,201,4,4,8,54,0,0,111,37,0,0,1,74.5,348,348,247,247,313,313,0,0,908,46,862,15,5,8,51,4,6,0,0,0,862,0,36,0,0,0,0,0,94.93
1480550640,1.91,55.58,2006,2006,31907,31906,2164,2165,0,0,36077,43,36034,601,33,12,97,0,0,34,0,41202,16,343,343,343,0,343,5,5,29,222,21,5,0,270,270,270,53,217,4,4,8,58,0,0,112,42,0,0,2,71.79,337,337,229,229,290,290,0,0,856,49,807,14,5,8,41,1,8,0,0,0,807,0,40,0,0,0,0,0,94.28
1480550700,1.94,45.31,2009,2009,31457,31458,2146,2146,0,0,35612,24,35589,593,33,11,71,0,0,23,0,40675,6,340,340,340,0,340,5,5,26,69,5,13,2,235,235,235,43,192,3,3,7,20,2,0,116,34,0,0,1,75.82,356,356,222,222,306,306,0,0,884,50,834,14,5,7,53,3,4,0,0,0,834,0,43,0,0,0,0,0,94.34
1480550760,1.97,43.42,1888,1888,31508,31512,2116,2116,0,0,35512,31,35485,591,31,10,84,3,0,21,0,40531,8,289,289,289,0,289,4,4,25,87,0,,0,221,221,221,38,183,3,3,6,12,0,0,105,31,2,0,1,75.54,366,365,241,241,327,327,0,0,934,42,891,15,6,7,54,2,8,0,0,0,891,0,32,0,0,0,0,0,95.5
1480550820,1.68,53.36,1913,1913,31358,31352,2110,2110,0,0,35381,43,35332,589,31,11,73,4,0,34,0,40363,15,289,289,289,0,289,4,4,26,83,0,,0,193,193,193,32,161,3,3,7,15,2,0,84,27,0,0,1,73.68,361,362,228,228,311,311,0,0,900,47,854,15,6,7,47,4,3,0,0,0,854,0,40,0,0,0,0,0,94.78
1480550880,1.75,53.97,1881,1881,31645,31648,2053,2053,0,0,35579,40,35542,592,31,10,79,3,0,28,0,40622,15,251,251,251,0,251,4,4,25,63,0,,1,208,208,208,31,177,3,3,7,55,0,0,113,24,0,0,2,81.29,327,327,246,245,306,306,0,0,879,51,827,14,5,7,51,2,4,0,0,0,827,0,43,2,0,0,0,0,94.19
1480550940,1.9,52.17,1884,1884,31651,31653,2052,2052,0,0,35587,32,35557,593,31,9,71,0,0,26,0,40593,12,262,262,262,0,262,4,4,27,137,0,13,0,197,197,197,34,163,3,3,6,19,0,0,99,29,0,0,1,76.74,325,325,204,205,292,292,0,0,821,54,768,13,5,7,19,6,6,0,0,0,768,0,40,2,0,0,0,0,93.43
1480551000,1.95,50.56,1914,1914,31463,31461,1979,1979,0,0,35356,34,35320,589,31,9,76,0,0,29,0,40354,8,222,222,222,0,222,3,3,25,64,5,39,0,205,205,205,43,162,3,3,6,51,1,0,105,34,0,0,1,74.47,292,292,210,210,262,262,0,0,764,39,725,12,4,6,54,4,2,0,0,0,725,0,33,0,0,0,0,0,94.9
1480551060,1.96,50.12,1868,1868,31612,31615,2062,2061,0,0,35542,41,35503,592,31,8,64,0,0,33,0,40562,17,223,223,223,0,223,3,3,25,146,14,5,2,192,192,192,46,146,3,3,6,13,1,0,96,38,0,0,1,70.59,336,336,192,192,283,283,0,0,811,34,777,13,5,6,59,2,5,0,0,0,777,0,27,0,0,0,0,0,95.81
1480551120,2.24,35.68,1901,1900,31398,31397,2054,2055,0,0,35353,40,35312,589,31,8,69,2,0,32,0,40404,12,232,232,232,0,232,3,3,26,91,0,,0,179,179,179,38,141,2,2,6,57,1,0,87,30,0,0,3,71.9,322,322,203,203,295,295,0,0,820,43,777,13,5,6,34,2,8,0,0,0,777,0,33,0,0,0,0,0,94.76
1480551180,2.32,27.01,2009,2010,31674,31677,2094,2093,0,0,35777,35,35745,596,33,7,64,0,0,30,0,40829,10,209,209,209,0,209,3,3,25,79,14,43,0,148,148,148,27,121,2,2,6,35,1,0,73,24,0,0,1,73.74,346,346,180,180,277,277,0,0,803,44,759,13,5,5,25,3,2,0,0,0,759,0,38,1,0,0,0,0,94.52
