time: 910.0
x,y,anomaly_score
hwCCRInit2,hwCCAInit2,0.391304347826087
hwCCRInit2,hwCCRTerm2,1.8181818181818181
hwCCRInit2,hwCCATerm2,2.272727272727273
hwCCRInit2,Caps4,1.5869565217391304
hwCCRInit2,hwCCREvent2,2.1944444444444446
hwCCRInit2,hwCCAEvent2,2.25
hwCCRInit2,totalMsg2,2.3055555555555554
hwCCRInit2,TPS2,4.777777777777778
hwCCRInit2,Caps2,4.944444444444445
hwCCAInit2,hwCCRInit2,0.1956521739130435
hwCCAInit2,hwCCRTerm2,1.8181818181818181
hwCCAInit2,hwCCATerm2,2.272727272727273
hwCCAInit2,Caps4,1.5869565217391304
hwCCAInit2,hwCCREvent2,2.1944444444444446
hwCCAInit2,hwCCAEvent2,2.25
hwCCAInit2,totalMsg2,2.3055555555555554
hwCCAInit2,TPS2,4.777777777777778
hwCCAInit2,Caps2,4.944444444444445
hwCCRUpdate2,hwCCAUpdate2,2.142857142857143
hwCCRUpdate2,hwCCRTerm2,1.8181818181818181
hwCCRUpdate2,hwCCATerm2,2.272727272727273
hwCCRUpdate2,totalMsg4,3.9285714285714284
hwCCRUpdate2,totalSucc4,4.214285714285714
hwCCRUpdate2,TPS4,4.571428571428571
hwCCAUpdate2,hwCCRUpdate2,1.7142857142857142
hwCCAUpdate2,hwCCRTerm2,1.8181818181818181
hwCCAUpdate2,hwCCATerm2,2.272727272727273
hwCCAUpdate2,totalMsg4,3.9285714285714284
hwCCAUpdate2,totalSucc4,4.214285714285714
hwCCAUpdate2,TPS4,4.571428571428571
hwCCRTerm2,hwCCRInit2,0.1956521739130435
hwCCRTerm2,hwCCAInit2,0.391304347826087
hwCCRTerm2,hwCCRUpdate2,1.7142857142857142
hwCCRTerm2,hwCCAUpdate2,2.142857142857143
hwCCRTerm2,hwCCATerm2,2.272727272727273
hwCCRTerm2,totalMsg4,3.9285714285714284
hwCCRTerm2,totalSucc4,4.214285714285714
hwCCRTerm2,TPS4,4.571428571428571
hwCCRTerm2,Caps4,1.5869565217391304
hwCCRTerm2,ER_0_59090795,5.5
hwCCATerm2,hwCCRInit2,0.1956521739130435
hwCCATerm2,hwCCAInit2,0.391304347826087
hwCCATerm2,hwCCRUpdate2,1.7142857142857142
hwCCATerm2,hwCCAUpdate2,2.142857142857143
hwCCATerm2,hwCCRTerm2,1.8181818181818181
hwCCATerm2,totalMsg4,3.9285714285714284
hwCCATerm2,totalSucc4,4.214285714285714
hwCCATerm2,TPS4,4.571428571428571
hwCCATerm2,Caps4,1.5869565217391304
hwCCATerm2,ER_0_59090795,5.5
totalMsg4,hwCCRUpdate2,1.7142857142857142
totalMsg4,hwCCAUpdate2,2.142857142857143
totalMsg4,hwCCRTerm2,1.8181818181818181
totalMsg4,hwCCATerm2,2.272727272727273
totalMsg4,TPS4,4.571428571428571
totalSucc4,hwCCRUpdate2,1.7142857142857142
totalSucc4,hwCCAUpdate2,2.142857142857143
totalSucc4,hwCCRTerm2,1.8181818181818181
totalSucc4,hwCCATerm2,2.272727272727273
TPS4,hwCCRUpdate2,1.7142857142857142
TPS4,hwCCAUpdate2,2.142857142857143
TPS4,hwCCRTerm2,1.8181818181818181
TPS4,hwCCATerm2,2.272727272727273
TPS4,totalMsg4,3.9285714285714284
Caps4,hwCCRInit2,0.1956521739130435
Caps4,hwCCAInit2,0.391304347826087
Caps4,hwCCRTerm2,1.8181818181818181
Caps4,hwCCATerm2,2.272727272727273
Caps4,hwCCREvent2,2.1944444444444446
Caps4,hwCCAEvent2,2.25
Caps4,totalMsg2,2.3055555555555554
Caps4,TPS2,4.777777777777778
Caps4,Caps2,4.944444444444445
ER_0_59090795,hwCCRUpdate2,1.7142857142857142
ER_0_59090795,hwCCAUpdate2,2.142857142857143
ER_0_59090795,hwCCRTerm2,1.8181818181818181
ER_0_59090795,hwCCATerm2,2.272727272727273
hwCCREvent2,hwCCRInit2,0.1956521739130435
hwCCREvent2,hwCCAInit2,0.391304347826087
hwCCAEvent2,hwCCRInit2,0.1956521739130435
hwCCAEvent2,hwCCAInit2,0.391304347826087
totalMsg2,hwCCRInit2,0.1956521739130435
totalMsg2,hwCCAInit2,0.391304347826087
TPS2,hwCCRInit2,0.1956521739130435
TPS2,hwCCAInit2,0.391304347826087
TPS2,Caps4,1.5869565217391304
Caps2,hwCCRInit2,0.1956521739130435
Caps2,hwCCAInit2,0.391304347826087
Caps2,Caps4,1.5869565217391304
ER_0_221059,hwCCRInit2,0.1956521739130435
ER_0_221059,hwCCAInit2,0.391304347826087
ER_0_221059,hwCCRTerm2,1.8181818181818181
ER_0_221059,hwCCATerm2,2.272727272727273
ER_0_221059,Caps4,1.5869565217391304
ER_0_221059,hwCCREvent2,2.1944444444444446
ER_0_221059,hwCCAEvent2,2.25
ER_0_221059,totalMsg2,2.3055555555555554
ER_0_221059,totalSucc2,6.916666666666667
hwCCRInit,hwCCREvent2,2.1944444444444446
hwCCRInit,hwCCAEvent2,2.25
hwCCRInit,totalMsg2,2.3055555555555554
hwCCAInit,hwCCREvent2,2.1944444444444446
hwCCAInit,hwCCAEvent2,2.25
hwCCAInit,totalMsg2,2.3055555555555554
hwCCRTerm,hwCCREvent2,2.1944444444444446
hwCCRTerm,hwCCAEvent2,2.25
hwCCRTerm,totalMsg2,2.3055555555555554
hwCCATerm,hwCCREvent2,2.1944444444444446
hwCCATerm,hwCCAEvent2,2.25
hwCCATerm,totalMsg2,2.3055555555555554
totalMsg,hwCCREvent2,2.1944444444444446
totalMsg,hwCCAEvent2,2.25
totalMsg,totalMsg2,2.3055555555555554
totalFail,hwCCRInit2,0.1956521739130435
totalFail,hwCCAInit2,0.391304347826087
totalFail,Caps4,1.5869565217391304
totalSucc,hwCCREvent2,2.1944444444444446
totalSucc,hwCCAEvent2,2.25
totalSucc,totalMsg2,2.3055555555555554
Caps,hwCCREvent2,2.1944444444444446
Caps,hwCCAEvent2,2.25
Caps,totalMsg2,2.3055555555555554
ER_0_4983593,hwCCREvent2,2.1944444444444446
ER_0_4983593,hwCCAEvent2,2.25
ER_0_4983593,totalMsg2,2.3055555555555554
