time: 910.0
x,y,anomaly_score
busy,hwCCRInit2,0.391304347826087
busy,hwCCAUpdate2,1.8181818181818181
busy,hwCCRTerm2,2.272727272727273
busy,TPS4,1.5869565217391304
busy,DiamBalanceQueryEvent,2.1944444444444446
busy,hwCCREvent2,2.25
busy,hwCCAEvent2,2.3055555555555554
busy,totalSucc2,4.777777777777778
busy,TPS2,4.944444444444445
hwCCRInit2,busy,0.1956521739130435
hwCCRInit2,hwCCAUpdate2,1.8181818181818181
hwCCRInit2,hwCCRTerm2,2.272727272727273
hwCCRInit2,TPS4,1.5869565217391304
hwCCRInit2,DiamBalanceQueryEvent,2.1944444444444446
hwCCRInit2,hwCCREvent2,2.25
hwCCRInit2,hwCCAEvent2,2.3055555555555554
hwCCRInit2,totalSucc2,4.777777777777778
hwCCRInit2,TPS2,4.944444444444445
hwCCAInit2,hwCCRUpdate2,2.142857142857143
hwCCAInit2,hwCCAUpdate2,1.8181818181818181
hwCCAInit2,hwCCRTerm2,2.272727272727273
hwCCAInit2,hwCCAEvent4,3.9285714285714284
hwCCAInit2,totalFail4,4.214285714285714
hwCCAInit2,totalSucc4,4.571428571428571
hwCCRUpdate2,hwCCAInit2,1.7142857142857142
hwCCRUpdate2,hwCCAUpdate2,1.8181818181818181
hwCCRUpdate2,hwCCRTerm2,2.272727272727273
hwCCRUpdate2,hwCCAEvent4,3.9285714285714284
hwCCRUpdate2,totalFail4,4.214285714285714
hwCCRUpdate2,totalSucc4,4.571428571428571
hwCCAUpdate2,busy,0.1956521739130435
hwCCAUpdate2,hwCCRInit2,0.391304347826087
hwCCAUpdate2,hwCCAInit2,1.7142857142857142
hwCCAUpdate2,hwCCRUpdate2,2.142857142857143
hwCCAUpdate2,hwCCRTerm2,2.272727272727273
hwCCAUpdate2,hwCCAEvent4,3.9285714285714284
hwCCAUpdate2,totalFail4,4.214285714285714
hwCCAUpdate2,totalSucc4,4.571428571428571
hwCCAUpdate2,TPS4,1.5869565217391304
hwCCAUpdate2,ER_118010103_02,5.5
hwCCRTerm2,busy,0.1956521739130435
hwCCRTerm2,hwCCRInit2,0.391304347826087
hwCCRTerm2,hwCCAInit2,1.7142857142857142
hwCCRTerm2,hwCCRUpdate2,2.142857142857143
hwCCRTerm2,hwCCAUpdate2,1.8181818181818181
hwCCRTerm2,hwCCAEvent4,3.9285714285714284
hwCCRTerm2,totalFail4,4.214285714285714
hwCCRTerm2,totalSucc4,4.571428571428571
hwCCRTerm2,TPS4,1.5869565217391304
hwCCRTerm2,ER_118010103_02,5.5
hwCCAEvent4,hwCCAInit2,1.7142857142857142
hwCCAEvent4,hwCCRUpdate2,2.142857142857143
hwCCAEvent4,hwCCAUpdate2,1.8181818181818181
hwCCAEvent4,hwCCRTerm2,2.272727272727273
hwCCAEvent4,totalSucc4,4.571428571428571
totalFail4,hwCCAInit2,1.7142857142857142
totalFail4,hwCCRUpdate2,2.142857142857143
totalFail4,hwCCAUpdate2,1.8181818181818181
totalFail4,hwCCRTerm2,2.272727272727273
totalSucc4,hwCCAInit2,1.7142857142857142
totalSucc4,hwCCRUpdate2,2.142857142857143
totalSucc4,hwCCAUpdate2,1.8181818181818181
totalSucc4,hwCCRTerm2,2.272727272727273
totalSucc4,hwCCAEvent4,3.9285714285714284
TPS4,busy,0.1956521739130435
TPS4,hwCCRInit2,0.391304347826087
TPS4,hwCCAUpdate2,1.8181818181818181
TPS4,hwCCRTerm2,2.272727272727273
TPS4,DiamBalanceQueryEvent,2.1944444444444446
TPS4,hwCCREvent2,2.25
TPS4,hwCCAEvent2,2.3055555555555554
TPS4,totalSucc2,4.777777777777778
TPS4,TPS2,4.944444444444445
ER_118010103_02,hwCCAInit2,1.7142857142857142
ER_118010103_02,hwCCRUpdate2,2.142857142857143
ER_118010103_02,hwCCAUpdate2,1.8181818181818181
ER_118010103_02,hwCCRTerm2,2.272727272727273
DiamBalanceQueryEvent,busy,0.1956521739130435
DiamBalanceQueryEvent,hwCCRInit2,0.391304347826087
hwCCREvent2,busy,0.1956521739130435
hwCCREvent2,hwCCRInit2,0.391304347826087
hwCCAEvent2,busy,0.1956521739130435
hwCCAEvent2,hwCCRInit2,0.391304347826087
totalSucc2,busy,0.1956521739130435
totalSucc2,hwCCRInit2,0.391304347826087
totalSucc2,TPS4,1.5869565217391304
TPS2,busy,0.1956521739130435
TPS2,hwCCRInit2,0.391304347826087
TPS2,TPS4,1.5869565217391304
ER_118013107_145,busy,0.1956521739130435
ER_118013107_145,hwCCRInit2,0.391304347826087
ER_118013107_145,hwCCAUpdate2,1.8181818181818181
ER_118013107_145,hwCCRTerm2,2.272727272727273
ER_118013107_145,TPS4,1.5869565217391304
ER_118013107_145,DiamBalanceQueryEvent,2.1944444444444446
ER_118013107_145,hwCCREvent2,2.25
ER_118013107_145,hwCCAEvent2,2.3055555555555554
ER_118013107_145,totalFail2,6.916666666666667
SuccessRate(%),DiamBalanceQueryEvent,2.1944444444444446
SuccessRate(%),hwCCREvent2,2.25
SuccessRate(%),hwCCAEvent2,2.3055555555555554
hwCCRInit,DiamBalanceQueryEvent,2.1944444444444446
hwCCRInit,hwCCREvent2,2.25
hwCCRInit,hwCCAEvent2,2.3055555555555554
hwCCAUpdate,DiamBalanceQueryEvent,2.1944444444444446
hwCCAUpdate,hwCCREvent2,2.25
hwCCAUpdate,hwCCAEvent2,2.3055555555555554
hwCCRTerm,DiamBalanceQueryEvent,2.1944444444444446
hwCCRTerm,hwCCREvent2,2.25
hwCCRTerm,hwCCAEvent2,2.3055555555555554
hwCCAEvent,DiamBalanceQueryEvent,2.1944444444444446
hwCCAEvent,hwCCREvent2,2.25
hwCCAEvent,hwCCAEvent2,2.3055555555555554
totalMsg,busy,0.1956521739130435
totalMsg,hwCCRInit2,0.391304347826087
totalMsg,TPS4,1.5869565217391304
totalFail,DiamBalanceQueryEvent,2.1944444444444446
totalFail,hwCCREvent2,2.25
totalFail,hwCCAEvent2,2.3055555555555554
TPS,DiamBalanceQueryEvent,2.1944444444444446
TPS,hwCCREvent2,2.25
TPS,hwCCAEvent2,2.3055555555555554
ER_412020002_0,DiamBalanceQueryEvent,2.1944444444444446
ER_412020002_0,hwCCREvent2,2.25
ER_412020002_0,hwCCAEvent2,2.3055555555555554
